posting_frequency,avg_likes,avg_comments,followers,following,avg_engagement,duplicate_comments_ratio,active_hours_count,account_age_days,label,like_comment_ratio,following_follower_ratio
1.2701003120159515,1500,125,15909,65,0.036148153952358104,0.0788040722729247,6,1559,0,11.904761904761905,0.004085480829666876
11.938292073114276,44,4,170,5231,0.009097507186313743,0.8901651992020125,23,48,1,8.8,30.5906432748538
0.892880508599048,549,129,1440,1282,0.0678679443819669,0.011946769355214876,12,3184,0,4.223076923076923,0.8896599583622484
40.68932052913381,46,2,398,7710,0.0019623204621904413,0.45373278204627937,22,118,1,15.333333333333334,19.32330827067669
74.830202308941,7,6,65,3662,0.006085381209133157,0.5721126603362864,21,90,1,1.0,55.484848484848484
2.3395098309603064,1211,83,24845,363,0.12834619659642174,0.14338781999430664,17,652,0,14.416666666666666,0.014609997585124367
2.8827722685309967,1858,153,16598,1270,0.14117289554721735,0.04581475390245484,10,1651,0,12.064935064935066,0.07651063317067293
2.1064960733088105,1908,185,2088,1994,0.05487946204230986,0.030530328372270724,12,2183,0,10.258064516129032,0.9545236955481091
2.2052714687236943,1137,123,14337,1652,0.07924358738692622,0.04131700196857636,10,2823,0,9.169354838709678,0.11521830101827311
1.859473634510282,935,86,6306,401,0.12373791206734605,0.04614826310345047,14,1364,0,10.74712643678161,0.06358014904074838
25.554504489718738,10,9,164,7557,0.005761717865405767,0.526789575380107,22,108,1,1.0,45.8
68.32355580752265,27,1,468,3207,0.005357922618156125,0.7777961896767007,20,121,1,13.5,6.837953091684435
2.4125354626600917,1911,91,11099,1754,0.11148778452742152,0.11084880947343657,13,1167,0,20.77173913043478,0.158018018018018
1.2013787625197665,1607,150,21967,1026,0.06339723338643727,0.04340286153333693,11,2794,0,10.642384105960264,0.046704297159504735
38.980073617693314,22,3,322,6631,0.003649743347025686,0.9493562518106077,21,124,1,5.5,20.529411764705884
67.48926241003186,33,9,43,1393,0.006577574650262021,0.5013212152898396,20,78,1,3.3,31.65909090909091
2.8179626129857085,1121,189,13197,933,0.0944510989921149,0.10430313760978044,5,1976,0,5.9,0.07069252917108652
2.912648597452153,277,192,23899,1146,0.13751679177856552,0.12437726699248765,17,340,0,1.4352331606217616,0.04794979079497908
2.7006863887274344,391,95,7439,1050,0.11975605907078252,0.021792901461867995,8,2552,0,4.072916666666667,0.14112903225806453
2.172328175830181,1684,127,27020,1596,0.042520551573503367,0.019077178382533037,17,2015,0,13.15625,0.059065171533251914
0.4541187506290777,1157,64,6545,172,0.09781617608903695,0.12090247569046035,13,546,0,17.8,0.026275588145432325
2.391088265290478,1613,103,7845,1942,0.05059823497017986,0.003076637898058676,15,1007,0,15.509615384615385,0.2475146571501402
56.26265377572494,28,7,49,2963,0.008673486885373574,0.9212099271910672,20,145,1,3.5,59.26
1.567811402236708,1142,18,25523,136,0.04531539673972385,0.05870671400456204,4,3239,0,60.10526315789474,0.005328318445384736
57.56551274498677,31,6,343,3817,0.0010012369871987036,0.9764073027748351,20,178,1,4.428571428571429,11.095930232558139
0.126671449688226,857,18,1191,496,0.13109929666908868,0.06191374804160901,6,1490,0,45.10526315789474,0.4161073825503356
64.57980676262696,48,7,395,7943,0.009753808739674118,0.44831521166429417,23,135,1,6.0,20.05808080808081
11.056162114748645,17,5,256,1802,0.005797293871230053,0.784791328097913,23,17,1,2.8333333333333335,7.011673151750973
59.812540932352036,9,8,430,3500,0.0016863611164162717,0.512500087808191,22,25,1,1.0,8.120649651972158
1.3478870952084419,1535,17,24863,515,0.11511063236517026,0.03225071524050428,16,2396,0,85.27777777777777,0.020712676962676962
29.206771056952526,8,4,359,6047,0.008497165180212197,0.6506702027879366,23,21,1,1.6,16.79722222222222
1.2530237540921034,641,6,7117,109,0.13359710869493108,0.0581928252982338,16,3589,0,91.57142857142857,0.015313290250070244
66.53634543658822,30,9,80,1779,0.008996926202776064,0.9485572037056226,21,175,1,3.0,21.962962962962962
72.7556884929705,23,7,162,3291,0.009904570074037514,0.8819876538305085,22,90,1,2.875,20.190184049079754
65.31979147609891,9,1,149,4576,0.006530559079950671,0.4082892858831776,21,127,1,4.5,30.506666666666668
0.9080747462861731,1010,178,355,1421,0.04812415560535158,0.08142620615011119,8,2559,0,5.64245810055866,3.991573033707865
2.843734840187535,1596,144,11525,330,0.1485089319658855,0.014989781558161447,14,1035,0,11.006896551724138,0.028630921395106715
2.6309177264053454,1351,132,29891,631,0.028247701299670067,0.11714172284257307,8,1873,0,10.157894736842104,0.02110932691021009
54.28663776728798,23,3,90,7671,0.0027074181348949113,0.5070241980862175,23,146,1,5.75,84.2967032967033
12.037101592608362,15,8,433,3722,0.004837919061297178,0.5606775838988556,23,139,1,1.6666666666666667,8.576036866359447
66.83915783321424,10,0,431,6725,0.0065701215688753435,0.8315627822732226,20,137,1,10.0,15.56712962962963
2.1076020371017723,489,115,22864,1525,0.04750230159444171,0.021955959988345163,12,1450,0,4.2155172413793105,0.06669582331073694
62.805353942875975,1,2,15,7446,0.001895182045754571,0.9299113472203976,20,51,1,0.3333333333333333,465.375
2.970884673930841,1970,94,27438,58,0.02455431262773454,0.07457307238243074,8,805,0,20.736842105263158,0.002113779656693028
31.68456966534573,7,9,422,4311,0.0033075828720044334,0.4432129722194633,22,15,1,0.7,10.191489361702128
74.42634452250442,42,3,115,7292,0.009140676944709873,0.8426155640989836,20,99,1,10.5,62.86206896551724
1.5397373418303693,568,90,29827,1511,0.13074077821976196,0.07079060486329415,10,887,0,6.241758241758242,0.05065710071074159
0.4988107380233804,277,89,29900,1409,0.03403494730605036,0.09067334733876892,8,3095,0,3.077777777777778,0.047122169827096085
0.3232417385034997,1177,114,23097,772,0.1098220008606437,0.10193277548590259,8,1985,0,10.234782608695653,0.0334228071694519
13.104094879363746,16,7,255,5422,0.0010347922665377308,0.5684956411967534,22,85,1,2.0,21.1796875
1.1170642648099596,1709,32,20106,1268,0.12660510328421212,0.11040260525480039,7,2665,0,51.78787878787879,0.06306261500969812
74.76728908658157,17,2,145,4057,0.001668073202595728,0.6935986481094569,22,83,1,5.666666666666667,27.78767123287671
2.524342349485397,288,115,29401,821,0.04926370906640774,0.002941579871138039,4,1559,0,2.4827586206896552,0.02792327052581457
1.8835376073127132,794,115,3605,1080,0.09560927938068786,0.04652208316362031,9,2337,0,6.844827586206897,0.2995008319467554
1.3686772738688144,1465,56,29239,1653,0.03681298508702074,0.007841455840830857,9,1841,0,25.70175438596491,0.056532147742818055
0.7437192696055533,368,134,2209,601,0.03713047820326967,0.141345140685181,15,235,0,2.725925925925926,0.27194570135746604
